recipe_name,ingredient_name,quantity,unit,steps
30-Minute Chicken Curry,double cream,2.0,tbsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,"small handful of coriander, leaves picked, to serve",,,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,"cooked rice, to serve",,,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,natural yogurt,150.0,g,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,garam masala,0.5,tsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,ground turmeric,0.5,tsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,chilli powder,0.5,tsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,ground coriander,0.5,tsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,"boneless and skinless chicken thighs, cut into 2.5cm pieces",6.0,,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
Quick Pasta Carbonara,spaghetti,200.0,g,"Cook the spaghetti in boiling salted water according to package directions, until al dente. | While the pasta cooks, fry the pancetta in a pan with olive oil until crisp and golden. | Whisk the eggs with the grated Parmesan and plenty of black pepper. | Drain the spaghetti, reserving a ladle of pasta water. | Tip the hot spaghetti into the pancetta pan, toss to combine, then remove from the heat. | Quickly stir in the egg and cheese mixture, adding a splash of pasta water if needed to create a creamy sauce. | Serve immediately, with extra Parmesan and black pepper."
Quick Pasta Carbonara,free-range eggs,2.0,,"Cook the spaghetti in boiling salted water according to package directions, until al dente. | While the pasta cooks, fry the pancetta in a pan with olive oil until crisp and golden. | Whisk the eggs with the grated Parmesan and plenty of black pepper. | Drain the spaghetti, reserving a ladle of pasta water. | Tip the hot spaghetti into the pancetta pan, toss to combine, then remove from the heat. | Quickly stir in the egg and cheese mixture, adding a splash of pasta water if needed to create a creamy sauce. | Serve immediately, with extra Parmesan and black pepper."
Quick Pasta Carbonara,"Parmesan cheese, grated",50.0,g,"Cook the spaghetti in boiling salted water according to package directions, until al dente. | While the pasta cooks, fry the pancetta in a pan with olive oil until crisp and golden. | Whisk the eggs with the grated Parmesan and plenty of black pepper. | Drain the spaghetti, reserving a ladle of pasta water. | Tip the hot spaghetti into the pancetta pan, toss to combine, then remove from the heat. | Quickly stir in the egg and cheese mixture, adding a splash of pasta water if needed to create a creamy sauce. | Serve immediately, with extra Parmesan and black pepper."
Quick Pasta Carbonara,"Pancetta, diced",50.0,g,"Cook the spaghetti in boiling salted water according to package directions, until al dente. | While the pasta cooks, fry the pancetta in a pan with olive oil until crisp and golden. | Whisk the eggs with the grated Parmesan and plenty of black pepper. | Drain the spaghetti, reserving a ladle of pasta water. | Tip the hot spaghetti into the pancetta pan, toss to combine, then remove from the heat. | Quickly stir in the egg and cheese mixture, adding a splash of pasta water if needed to create a creamy sauce. | Serve immediately, with extra Parmesan and black pepper."
Quick Pasta Carbonara,"garlic, crushed",1.0,clove,"Cook the spaghetti in boiling salted water according to package directions, until al dente. | While the pasta cooks, fry the pancetta in a pan with olive oil until crisp and golden. | Whisk the eggs with the grated Parmesan and plenty of black pepper. | Drain the spaghetti, reserving a ladle of pasta water. | Tip the hot spaghetti into the pancetta pan, toss to combine, then remove from the heat. | Quickly stir in the egg and cheese mixture, adding a splash of pasta water if needed to create a creamy sauce. | Serve immediately, with extra Parmesan and black pepper."
Quick Pasta Carbonara,Freshly ground black pepper,,,"Cook the spaghetti in boiling salted water according to package directions, until al dente. | While the pasta cooks, fry the pancetta in a pan with olive oil until crisp and golden. | Whisk the eggs with the grated Parmesan and plenty of black pepper. | Drain the spaghetti, reserving a ladle of pasta water. | Tip the hot spaghetti into the pancetta pan, toss to combine, then remove from the heat. | Quickly stir in the egg and cheese mixture, adding a splash of pasta water if needed to create a creamy sauce. | Serve immediately, with extra Parmesan and black pepper."
Quick Pasta Carbonara,olive oil,2.0,tbsp,"Cook the spaghetti in boiling salted water according to package directions, until al dente. | While the pasta cooks, fry the pancetta in a pan with olive oil until crisp and golden. | Whisk the eggs with the grated Parmesan and plenty of black pepper. | Drain the spaghetti, reserving a ladle of pasta water. | Tip the hot spaghetti into the pancetta pan, toss to combine, then remove from the heat. | Quickly stir in the egg and cheese mixture, adding a splash of pasta water if needed to create a creamy sauce. | Serve immediately, with extra Parmesan and black pepper."
Easy Banana Bread,ripe bananas,3.0,,"Preheat oven to 180°C (160°C fan). Grease a 900g loaf tin and line the base with parchment paper. | Mash the ripe bananas in a bowl until smooth. | Stir in the melted butter, sugar, eggs, and vanilla extract until well combined. | Fold in the self-raising flour and baking soda (and walnuts, if using). | Pour the mixture into the prepared loaf tin. | Bake for 50-55 mins until golden and a skewer inserted into the centre comes out clean. | Cool in the tin for 10 mins, then transfer to a wire rack to cool completely."
Easy Banana Bread,"unsalted butter, melted",100.0,g,"Preheat oven to 180°C (160°C fan). Grease a 900g loaf tin and line the base with parchment paper. | Mash the ripe bananas in a bowl until smooth. | Stir in the melted butter, sugar, eggs, and vanilla extract until well combined. | Fold in the self-raising flour and baking soda (and walnuts, if using). | Pour the mixture into the prepared loaf tin. | Bake for 50-55 mins until golden and a skewer inserted into the centre comes out clean. | Cool in the tin for 10 mins, then transfer to a wire rack to cool completely."
Easy Banana Bread,caster sugar,100.0,g,"Preheat oven to 180°C (160°C fan). Grease a 900g loaf tin and line the base with parchment paper. | Mash the ripe bananas in a bowl until smooth. | Stir in the melted butter, sugar, eggs, and vanilla extract until well combined. | Fold in the self-raising flour and baking soda (and walnuts, if using). | Pour the mixture into the prepared loaf tin. | Bake for 50-55 mins until golden and a skewer inserted into the centre comes out clean. | Cool in the tin for 10 mins, then transfer to a wire rack to cool completely."
Easy Banana Bread,large eggs,2.0,,"Preheat oven to 180°C (160°C fan). Grease a 900g loaf tin and line the base with parchment paper. | Mash the ripe bananas in a bowl until smooth. | Stir in the melted butter, sugar, eggs, and vanilla extract until well combined. | Fold in the self-raising flour and baking soda (and walnuts, if using). | Pour the mixture into the prepared loaf tin. | Bake for 50-55 mins until golden and a skewer inserted into the centre comes out clean. | Cool in the tin for 10 mins, then transfer to a wire rack to cool completely."
Easy Banana Bread,vanilla extract,1.0,tsp,"Preheat oven to 180°C (160°C fan). Grease a 900g loaf tin and line the base with parchment paper. | Mash the ripe bananas in a bowl until smooth. | Stir in the melted butter, sugar, eggs, and vanilla extract until well combined. | Fold in the self-raising flour and baking soda (and walnuts, if using). | Pour the mixture into the prepared loaf tin. | Bake for 50-55 mins until golden and a skewer inserted into the centre comes out clean. | Cool in the tin for 10 mins, then transfer to a wire rack to cool completely."
Easy Banana Bread,self-raising flour,150.0,g,"Preheat oven to 180°C (160°C fan). Grease a 900g loaf tin and line the base with parchment paper. | Mash the ripe bananas in a bowl until smooth. | Stir in the melted butter, sugar, eggs, and vanilla extract until well combined. | Fold in the self-raising flour and baking soda (and walnuts, if using). | Pour the mixture into the prepared loaf tin. | Bake for 50-55 mins until golden and a skewer inserted into the centre comes out clean. | Cool in the tin for 10 mins, then transfer to a wire rack to cool completely."
Easy Banana Bread,baking soda,0.5,tsp,"Preheat oven to 180°C (160°C fan). Grease a 900g loaf tin and line the base with parchment paper. | Mash the ripe bananas in a bowl until smooth. | Stir in the melted butter, sugar, eggs, and vanilla extract until well combined. | Fold in the self-raising flour and baking soda (and walnuts, if using). | Pour the mixture into the prepared loaf tin. | Bake for 50-55 mins until golden and a skewer inserted into the centre comes out clean. | Cool in the tin for 10 mins, then transfer to a wire rack to cool completely."
Easy Banana Bread,"handful of walnuts, roughly broken (optional)",,,"Preheat oven to 180°C (160°C fan). Grease a 900g loaf tin and line the base with parchment paper. | Mash the ripe bananas in a bowl until smooth. | Stir in the melted butter, sugar, eggs, and vanilla extract until well combined. | Fold in the self-raising flour and baking soda (and walnuts, if using). | Pour the mixture into the prepared loaf tin. | Bake for 50-55 mins until golden and a skewer inserted into the centre comes out clean. | Cool in the tin for 10 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,"(1 cup) unsalted butter, softened",225.0,g,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,(1 cup) brown sugar,225.0,g,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,(½ cup) white sugar,100.0,g,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,large eggs,2.0,,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,vanilla extract,2.0,tsp,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,(2½ cups) all-purpose flour,300.0,g,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,baking soda,1.0,tsp,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,salt,0.5,tsp,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,(1 cup) chocolate chips,200.0,g,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Classic Chocolate Chip Cookies,(½ cup) chopped walnuts (optional),100.0,g,"Preheat oven to 190°C (170°C fan). Line baking sheets with parchment paper. | Cream together the softened butter, brown sugar, and white sugar until light and fluffy. | Beat in the eggs one at a time, then stir in the vanilla extract. | Mix the flour, baking soda, and salt in a separate bowl. | Gradually stir the dry ingredients into the wet mixture until just combined. | Fold in the chocolate chips (and chopped walnuts, if using). | Drop rounded tablespoons of dough onto the prepared baking sheets. | Bake for 9-11 mins until golden brown around the edges but still soft in the centre. | Cool on the baking sheet for 5 mins, then transfer to a wire rack to cool completely."
Lemon Herb Salad,"mixed salad leaves (rocket, spinach, lettuce)",2.0,cups,"Wash and dry the salad leaves. Arrange them in a large serving bowl. | Add the cucumber slices, radish slices, and red onion dice to the bowl. | In a small bowl, whisk together the lemon zest, lemon juice, olive oil, dill, and mint. | Season the dressing with salt and pepper to taste. | Drizzle the dressing over the salad just before serving. | Sprinkle with crumbled feta if using."
Lemon Herb Salad,"large cucumber, sliced",1.0,,"Wash and dry the salad leaves. Arrange them in a large serving bowl. | Add the cucumber slices, radish slices, and red onion dice to the bowl. | In a small bowl, whisk together the lemon zest, lemon juice, olive oil, dill, and mint. | Season the dressing with salt and pepper to taste. | Drizzle the dressing over the salad just before serving. | Sprinkle with crumbled feta if using."
Lemon Herb Salad,"radishes, thinly sliced",2.0,,"Wash and dry the salad leaves. Arrange them in a large serving bowl. | Add the cucumber slices, radish slices, and red onion dice to the bowl. | In a small bowl, whisk together the lemon zest, lemon juice, olive oil, dill, and mint. | Season the dressing with salt and pepper to taste. | Drizzle the dressing over the salad just before serving. | Sprinkle with crumbled feta if using."
Lemon Herb Salad,"red onion, finely diced",1.0,,"Wash and dry the salad leaves. Arrange them in a large serving bowl. | Add the cucumber slices, radish slices, and red onion dice to the bowl. | In a small bowl, whisk together the lemon zest, lemon juice, olive oil, dill, and mint. | Season the dressing with salt and pepper to taste. | Drizzle the dressing over the salad just before serving. | Sprinkle with crumbled feta if using."
